ENSG00000243485	MIR1302-2HG
ENSG00000283259	AC242022.1
ENSG00000233234	AL592464.2
ENSG00000231630	AL592464.1
ENSG00000284745	AL589702.1
ENSG00000169717	ACTRT2
ENSG00000177133	LINC00982
ENSG00000142611	PRDM16
ENSG00000226286	AL008733.1
ENSG00000272235	AL590438.1
ENSG00000130762	ARHGEF16
ENSG00000272088	AL512413.1
ENSG00000162591	MEGF6
ENSG00000238260	AL513320.1
ENSG00000158109	TPRG1L
ENSG00000116213	WRAP73
ENSG00000078900	TP73
ENSG00000227589	AL136528.1
ENSG00000235131	AL136528.2
ENSG00000162592	CCDC27
ENSG00000235169	SMIM1
ENSG00000130764	LRRC47
ENSG00000272153	AL365330.1
ENSG00000116198	CEP104
ENSG00000169598	DFFB
ENSG00000198912	C1orf174
ENSG00000236423	LINC01134
ENSG00000233304	LINC01346
ENSG00000226374	LINC01345
ENSG00000284668	AL805961.1
ENSG00000284703	AL805961.2
ENSG00000235054	LINC01777
ENSG00000284694	AL355602.1
ENSG00000227169	Z98747.1
ENSG00000232596	LINC01646
ENSG00000196581	AJAP1
ENSG00000284739	BX005132.2
ENSG00000284674	BX005132.1
ENSG00000231510	AL691497.1
ENSG00000284616	AL139823.1
ENSG00000284692	Z98259.3
ENSG00000284666	Z98259.2
ENSG00000260972	Z98259.1
ENSG00000236948	AL365255.1
ENSG00000131697	NPHP4
ENSG00000069424	KCNAB2
ENSG00000116254	CHD5
ENSG00000116251	RPL22
ENSG00000226944	AL031847.1
ENSG00000158286	RNF207
ENSG00000116237	ICMT
ENSG00000225077	LINC00337
ENSG00000173673	HES3
ENSG00000158292	GPR153
ENSG00000097021	ACOT7
ENSG00000271746	AL031848.2
ENSG00000069812	HES2
ENSG00000187017	ESPN
ENSG00000231868	AL031848.1
ENSG00000215788	TNFRSF25
ENSG00000171680	PLEKHG5
ENSG00000162408	NOL9
ENSG00000173662	TAS1R1
ENSG00000204859	ZBTB48
ENSG00000162413	KLHL21
ENSG00000116273	PHF13
ENSG00000041988	THAP3
ENSG00000007923	DNAJC11
ENSG00000228750	LINC01672
ENSG00000284744	AL591163.1
ENSG00000237436	CAMTA1-DT
ENSG00000171735	CAMTA1
ENSG00000237365	AL512330.1
ENSG00000237728	Z97987.1
ENSG00000225126	AL365194.1
ENSG00000270171	AL359881.3
ENSG00000270035	AL359881.2
ENSG00000269978	AL359881.1
ENSG00000049245	VAMP3
ENSG00000049246	PER3
ENSG00000236266	Z98884.1
ENSG00000049247	UTS2
ENSG00000049249	TNFRSF9
ENSG00000116288	PARK7
ENSG00000284747	AL034417.4
ENSG00000284716	AL034417.3
ENSG00000116285	ERRFI1
ENSG00000238290	AL034417.2
ENSG00000227634	LINC01714
ENSG00000233645	AL358876.2
ENSG00000162426	SLC45A1
ENSG00000142599	RERE
ENSG00000232912	AL096855.1
ENSG00000228423	AL357552.2
ENSG00000074800	ENO1
ENSG00000230679	ENO1-AS1
ENSG00000131686	CA6
ENSG00000197241	SLC2A7
ENSG00000142583	SLC2A5
ENSG00000180758	GPR157
ENSG00000228526	MIR34AHG
ENSG00000234546	LINC01759
ENSG00000049239	H6PD
ENSG00000171621	SPSB1
ENSG00000284652	BX323043.1
ENSG00000284693	AL928921.2
ENSG00000235263	AL928921.1
ENSG00000171612	SLC25A33
ENSG00000188807	TMEM201
ENSG00000171608	PIK3CD
ENSG00000179840	PIK3CD-AS1
ENSG00000231789	PIK3CD-AS2
ENSG00000171603	CLSTN1
ENSG00000178585	CTNNBIP1
ENSG00000223989	AL357140.1
ENSG00000162441	LZIC
ENSG00000173614	NMNAT1
ENSG00000162444	RBP7
ENSG00000130939	UBE4B
ENSG00000054523	KIF1B
ENSG00000284735	AL139424.3
ENSG00000284642	AL139424.2
ENSG00000142657	PGD
ENSG00000271989	AL139424.1
ENSG00000251503	CENPS-CORT
ENSG00000175279	CENPS
ENSG00000241563	CORT
ENSG00000160049	DFFA
ENSG00000203469	AL354956.1
ENSG00000142655	PEX14
ENSG00000130940	CASZ1
ENSG00000272078	AL139423.1
ENSG00000175262	C1orf127
ENSG00000120948	TARDBP
ENSG00000277726	AL109811.4
ENSG00000009724	MASP2
ENSG00000271895	AL109811.3
ENSG00000116649	SRM
ENSG00000171824	EXOSC10
ENSG00000226849	AL109811.1
ENSG00000230337	AL109811.2
ENSG00000198793	MTOR
ENSG00000225602	MTOR-AS1
ENSG00000171819	ANGPTL7
ENSG00000120942	UBIAD1
ENSG00000284646	AL031291.1
ENSG00000204624	DISP3
ENSG00000235643	LINC01647
ENSG00000284708	AL031731.1
ENSG00000116661	FBXO2
ENSG00000132879	FBXO44
ENSG00000116663	FBXO6
ENSG00000116670	MAD2L2
ENSG00000162490	DRAXIN
ENSG00000177674	AGTRAP
ENSG00000215910	C1orf167
ENSG00000177553	AL953897.1
ENSG00000177000	MTHFR
ENSG00000011021	CLCN6
ENSG00000242349	NPPA-AS1
ENSG00000175206	NPPA
ENSG00000120937	NPPB
ENSG00000116685	KIAA2013
ENSG00000083444	PLOD1
ENSG00000116688	MFN2
ENSG00000116691	MIIP
ENSG00000120949	TNFRSF8
ENSG00000028137	TNFRSF1B
ENSG00000048707	VPS13D
ENSG00000229484	AC243836.1
ENSG00000162496	DHRS3
ENSG00000272482	AC254633.1
ENSG00000204518	AADACL4
ENSG00000188984	AADACL3
ENSG00000157330	C1orf158
ENSG00000116726	PRAMEF12
ENSG00000116721	PRAMEF1
ENSG00000228338	LINC01784
ENSG00000239810	PRAMEF11
ENSG00000179172	HNRNPCL1
ENSG00000120952	PRAMEF2
ENSG00000243073	PRAMEF4
ENSG00000187545	PRAMEF10
ENSG00000204510	PRAMEF7
ENSG00000232423	PRAMEF6
ENSG00000274764	PRAMEF27
ENSG00000277058	HNRNPCL3
ENSG00000229571	PRAMEF25
ENSG00000275774	HNRNPCL2
ENSG00000233336	AC245056.1
ENSG00000280267	PRAMEF26
ENSG00000179412	HNRNPCL4
ENSG00000204505	PRAMEF9
ENSG00000279169	PRAMEF13
ENSG00000279804	PRAMEF18
ENSG00000270601	PRAMEF5
ENSG00000182330	PRAMEF8
ENSG00000237700	PRAMEF33
ENSG00000204501	PRAMEF15
ENSG00000228229	AC243961.1
ENSG00000204481	PRAMEF14
ENSG00000204480	PRAMEF19
ENSG00000204479	PRAMEF17
ENSG00000204478	PRAMEF20
ENSG00000162494	LRRC38
ENSG00000259961	AL354712.1
ENSG00000162493	PDPN
ENSG00000237445	AL359771.1
ENSG00000116731	PRDM2
ENSG00000189337	KAZN
ENSG00000231606	AL357873.1
ENSG00000234593	KAZN-AS1
ENSG00000175147	TMEM51-AS1
ENSG00000171729	TMEM51
ENSG00000204464	C1orf195
ENSG00000142621	FHAD1
ENSG00000233485	AL031283.2
ENSG00000236045	AL031283.3
ENSG00000228140	AL031283.1
ENSG00000142634	EFHD2
ENSG00000162438	CTRC
ENSG00000142615	CELA2A
ENSG00000215704	CELA2B
ENSG00000132906	CASP9
ENSG00000116138	DNAJC16
ENSG00000272510	AL121992.3
ENSG00000116771	AGMAT
ENSG00000237301	AL121992.1
ENSG00000197312	DDI2
ENSG00000215695	RSC1A1
ENSG00000271742	AL121992.2
ENSG00000116786	PLEKHM2
ENSG00000237938	AL450998.3
ENSG00000162461	SLC25A34
ENSG00000224459	SLC25A34-AS1
ENSG00000162460	TMEM82
ENSG00000162458	FBLIM1
ENSG00000233954	UQCRHL
ENSG00000179743	AL450998.2
ENSG00000065526	SPEN
ENSG00000116809	ZBTB17
ENSG00000183888	SRARP
ENSG00000233078	AL355994.3
ENSG00000173641	HSPB7
ENSG00000186510	CLCNKA
ENSG00000184908	CLCNKB
ENSG00000185519	FAM131C
ENSG00000142627	EPHA2
ENSG00000227959	AL451042.2
ENSG00000224621	AL451042.1
ENSG00000234166	ARHGEF19-AS1
ENSG00000142632	ARHGEF19
ENSG00000132881	CPLANE2
ENSG00000037637	FBXO42
ENSG00000055070	SZRD1
ENSG00000187144	SPATA21
ENSG00000157191	NECAP2
ENSG00000226029	LINC01772
ENSG00000261135	AL137802.2
ENSG00000224174	AL137802.1
ENSG00000233421	LINC01783
ENSG00000219481	NBPF1
ENSG00000271732	AL137798.1
ENSG00000282143	AL137798.2
ENSG00000279151	AL021920.1
ENSG00000282740	AL021920.3
ENSG00000058453	CROCC
ENSG00000223643	BX284668.1
ENSG00000228549	BX284668.2
ENSG00000238142	BX284668.5
ENSG00000272426	BX284668.6
ENSG00000117122	MFAP2
ENSG00000226526	AL049569.1
ENSG00000159363	ATP13A2
ENSG00000117118	SDHB
ENSG00000117115	PADI2
ENSG00000204362	AL590644.1
ENSG00000282843	AL590644.3
ENSG00000142623	PADI1
ENSG00000142619	PADI3
ENSG00000159339	PADI4
ENSG00000276747	PADI6
ENSG00000227751	AC004824.1
ENSG00000179051	RCC2
ENSG00000074964	ARHGEF10L
ENSG00000236648	AL136529.1
ENSG00000117148	ACTL8
ENSG00000284653	AL357509.1
ENSG00000261781	LINC01654
ENSG00000117154	IGSF21
ENSG00000230035	IGSF21-AS1
ENSG00000225387	AL591896.1
ENSG00000179023	KLHDC7A
ENSG00000009709	PAX7
ENSG00000179002	TAS1R2
ENSG00000255275	AL080251.1
ENSG00000159423	ALDH4A1
ENSG00000169991	IFFO2
ENSG00000127481	UBR4
ENSG00000230424	AL035413.1
ENSG00000127463	EMC1
ENSG00000053372	MRTO4
ENSG00000162482	AKR7A3
ENSG00000053371	AKR7A2
ENSG00000040487	PQLC2
ENSG00000077549	CAPZB
ENSG00000235185	AL031727.2
ENSG00000173436	MINOS1
ENSG00000158747	NBL1
ENSG00000270136	MINOS1-NBL1
ENSG00000158748	HTR6
ENSG00000162542	TMCO4
ENSG00000178828	RNF186
ENSG00000235434	AL391883.1
ENSG00000169914	OTUD3
ENSG00000188784	PLA2G2E
ENSG00000188257	PLA2G2A
ENSG00000127472	PLA2G5
ENSG00000117215	PLA2G2D
ENSG00000158786	PLA2G2F
ENSG00000227066	Z98257.1
ENSG00000187980	PLA2G2C
ENSG00000225986	UBXN10-AS1
ENSG00000162543	UBXN10
ENSG00000228105	LINC01757
ENSG00000284710	Z98257.2
ENSG00000158816	VWA5B1
ENSG00000226664	AL020998.1
ENSG00000236963	LINC01141
ENSG00000226487	AL139254.1
ENSG00000284641	AL139254.2
ENSG00000284743	AL139254.3
ENSG00000162545	CAMK2N1
ENSG00000090432	MUL1
ENSG00000183114	FAM43B
ENSG00000158825	CDA
ENSG00000158828	PINK1
ENSG00000117242	PINK1-AS
ENSG00000244038	DDOST
ENSG00000117245	KIF17
ENSG00000189410	SH2D5
ENSG00000233069	AL663074.1
ENSG00000127483	HP1BP3
ENSG00000075151	EIF4G3
ENSG00000117298	ECE1
ENSG00000236936	AL031005.1
ENSG00000231105	AL031728.1
ENSG00000236009	AL592309.2
ENSG00000142794	NBPF3
ENSG00000162551	ALPL
ENSG00000233431	AL359815.1
ENSG00000076864	RAP1GAP
ENSG00000090686	USP48
ENSG00000187942	LDLRAD2
ENSG00000142798	HSPG2
ENSG00000219073	CELA3B
ENSG00000142789	CELA3A
ENSG00000228397	LINC01635
ENSG00000070831	CDC42
ENSG00000271840	AL031281.2
ENSG00000162552	WNT4
ENSG00000184677	ZBTB40
ENSG00000070886	EPHA8
ENSG00000173372	C1QA
ENSG00000159189	C1QC
ENSG00000173369	C1QB
ENSG00000133216	EPHB2
ENSG00000225952	AL512444.1
ENSG00000215906	LACTBL1
ENSG00000227868	TEX46
ENSG00000004487	KDM1A
ENSG00000240553	AL031428.1
ENSG00000169641	LUZP1
ENSG00000179546	HTR1D
ENSG00000261326	LINC01355
ENSG00000284726	AL109936.6
ENSG00000125944	HNRNPR
ENSG00000125945	ZNF436
ENSG00000249087	ZNF436-AS1
ENSG00000271420	AL109936.2
ENSG00000204219	TCEA3
ENSG00000088280	ASAP3
ENSG00000007968	E2F2
ENSG00000235052	AL021154.1
ENSG00000117318	ID3
ENSG00000197880	MDS2
ENSG00000142676	RPL11
ENSG00000011007	ELOA
ENSG00000236810	ELOA-AS1
ENSG00000057757	PITHD1
ENSG00000011009	LYPLA2
ENSG00000117308	GALE
ENSG00000117305	HMGCL
ENSG00000179163	FUCA1
ENSG00000188822	CNR2
ENSG00000232557	AL590609.3
ENSG00000189266	PNRC2
ENSG00000188529	SRSF10
ENSG00000225315	AL591178.1
ENSG00000142661	MYOM3
ENSG00000230703	AL591178.2
ENSG00000142677	IL22RA1
ENSG00000185436	IFNLR1
ENSG00000230023	AL590683.1
ENSG00000232298	AL138902.1
ENSG00000158055	GRHL3
ENSG00000001460	STPG1
ENSG00000001461	NIPAL3
ENSG00000117602	RCAN3
ENSG00000264443	AL445686.2
ENSG00000184454	NCMAP
ENSG00000133226	SRRM1
ENSG00000284699	AL445648.1
ENSG00000169504	CLIC4
ENSG00000020633	RUNX3
ENSG00000229162	AL445471.1
ENSG00000261025	AL445471.2
ENSG00000233755	AL050344.1
ENSG00000231953	AL031432.1
ENSG00000117614	SYF2
ENSG00000284657	AL031432.5
ENSG00000117616	RSRP1
ENSG00000272432	AL031432.3
ENSG00000187010	RHD
ENSG00000183726	TMEM50A
ENSG00000188672	RHCE
ENSG00000204178	MACO1
ENSG00000157978	LDLRAP1
ENSG00000225643	AL606491.1
ENSG00000117643	MAN1C1
ENSG00000233478	AL031280.1
ENSG00000162430	SELENON
ENSG00000255054	AL020996.2
ENSG00000228172	AL020996.1
ENSG00000117640	MTFR1L
ENSG00000272478	AL020996.3
ENSG00000127423	AUNIP
ENSG00000236528	AL033528.2
ENSG00000182749	PAQR7
ENSG00000117632	STMN1
ENSG00000158006	PAFAH2
ENSG00000158008	EXTL1
ENSG00000158014	SLC30A2
ENSG00000158022	TRIM63
ENSG00000175087	PDIK1L
ENSG00000197245	FAM110D
ENSG00000282872	C1orf232
ENSG00000236782	AL391650.1
ENSG00000142684	ZNF593
ENSG00000142675	CNKSR1
ENSG00000188782	CATSPER4
ENSG00000130695	CEP85
ENSG00000142669	SH3BGRL3
ENSG00000158062	UBXN11
ENSG00000169442	CD52
ENSG00000176092	CRYBG2
ENSG00000176083	ZNF683
ENSG00000131914	LIN28A
ENSG00000117682	DHDDS
ENSG00000225891	AL513365.2
ENSG00000198830	HMGN2
ENSG00000117676	RPS6KA1
ENSG00000260063	AL512408.1
ENSG00000117713	ARID1A
ENSG00000060642	PIGV
ENSG00000204160	ZDHHC18
ENSG00000175793	SFN
ENSG00000226698	AL034380.1
ENSG00000142751	GPN2
ENSG00000198746	GPATCH3
ENSG00000090273	NUDC
ENSG00000131910	NR0B2
ENSG00000175707	KDF1
ENSG00000253368	TRNP1
ENSG00000158246	TENT5B
ENSG00000090020	SLC9A1
ENSG00000224311	AL590640.1
ENSG00000142784	WDTC1
ENSG00000186501	TMEM222
ENSG00000142765	SYTL1
ENSG00000142733	MAP3K6
ENSG00000142748	FCN3
ENSG00000174950	CD164L2
ENSG00000181773	GPR3
ENSG00000158195	WASF2
ENSG00000241169	FO393419.2
ENSG00000237429	BX293535.1
ENSG00000126705	AHDC1
ENSG00000000938	FGR
ENSG00000233975	LINC02574
ENSG00000126709	IFI6
ENSG00000225886	AL445490.1
ENSG00000009780	FAM76A
ENSG00000117758	STX12
ENSG00000117751	PPP1R8
ENSG00000130775	THEMIS2
ENSG00000117748	RPA2
ENSG00000130768	SMPDL3B
ENSG00000227050	AL512288.1
ENSG00000158156	XKR8
ENSG00000158161	EYA3
ENSG00000169403	PTAFR
ENSG00000126698	DNAJC8
ENSG00000130770	ATP5IF1
ENSG00000270605	AL353622.1
ENSG00000271398	AL353622.2
ENSG00000130766	SESN2
ENSG00000130772	MED18
ENSG00000204138	PHACTR4
ENSG00000180198	RCC1
ENSG00000180098	TRNAU1AP
ENSG00000197989	SNHG12
ENSG00000120656	TAF12
ENSG00000188060	RAB42
ENSG00000229388	LINC01715
ENSG00000270103	AL360012.1
ENSG00000162419	GMEB1
ENSG00000198492	YTHDF2
ENSG00000116329	OPRD1
ENSG00000233427	AL009181.1
ENSG00000159023	EPB41
ENSG00000253304	TMEM200B
ENSG00000225750	AL357500.1
ENSG00000116350	SRSF4
ENSG00000116353	MECR
ENSG00000237934	AL590729.1
ENSG00000060656	PTPRU
ENSG00000230523	LINC01756
ENSG00000228176	AC092265.1
ENSG00000284676	AL645944.2
ENSG00000233399	LINC01648
ENSG00000233372	AL137076.1
ENSG00000236335	AL161638.2
ENSG00000231949	AL161638.1
ENSG00000162510	MATN1
ENSG00000186056	MATN1-AS1
ENSG00000162511	LAPTM5
ENSG00000229607	AL137027.1
ENSG00000223382	LINC01778
ENSG00000235143	AL445235.1
ENSG00000162512	SDC3
ENSG00000134644	PUM1
ENSG00000084628	NKAIN1
ENSG00000060688	SNRNP40
ENSG00000121766	ZCCHC17
ENSG00000229044	AL451070.1
ENSG00000121769	FABP3
ENSG00000168528	SERINC2
ENSG00000229167	AC114488.1
ENSG00000142910	TINAGL1
ENSG00000121764	HCRTR1
ENSG00000162517	PEF1
ENSG00000235790	AC114488.2
ENSG00000264078	AC114488.3
ENSG00000084636	COL16A1
ENSG00000121753	ADGRB2
ENSG00000254545	AL354919.2
ENSG00000134668	SPOCD1
ENSG00000203620	AL354919.1
ENSG00000269967	AL136115.2
ENSG00000184007	PTP4A2
ENSG00000228634	AL136115.1
ENSG00000284702	AL136115.3
ENSG00000121774	KHDRBS1
ENSG00000203325	AL445248.1
ENSG00000121775	TMEM39B
ENSG00000025800	KPNA6
ENSG00000084652	TXLNA
ENSG00000160050	CCDC28B
ENSG00000224066	AL049795.1
ENSG00000160051	IQCC
ENSG00000222046	DCDC2B
ENSG00000160055	TMEM234
ENSG00000084623	EIF3I
ENSG00000183615	FAM167B
ENSG00000182866	LCK
ENSG00000116478	HDAC1
ENSG00000175130	MARCKSL1
ENSG00000233775	AL109945.1
ENSG00000162526	TSSK3
ENSG00000225828	FAM229A
ENSG00000160058	BSDC1
ENSG00000254553	AL033529.1
ENSG00000273274	ZBTB8B
ENSG00000160062	ZBTB8A
ENSG00000176261	ZBTB8OS
ENSG00000162521	RBBP4
ENSG00000162520	SYNC
ENSG00000224409	AC114489.1
ENSG00000162522	KIAA1522
ENSG00000134684	YARS
ENSG00000116497	S100PBP
ENSG00000160097	FNDC5
ENSG00000121905	HPCA
ENSG00000121900	TMEM54
ENSG00000116514	RNF19B
ENSG00000236065	AL020995.1
ENSG00000004455	AK2
ENSG00000142920	AZIN2
ENSG00000116525	TRIM62
ENSG00000284721	AL662907.3
ENSG00000160094	ZNF362
ENSG00000270115	AL513327.3
ENSG00000184389	A3GALT2
ENSG00000225313	AL513327.1
ENSG00000134686	PHC2
ENSG00000233246	AL513327.2
ENSG00000121903	ZSCAN20
ENSG00000121904	CSMD2
ENSG00000176256	HMGB4
ENSG00000231163	CSMD2-AS1
ENSG00000142698	C1orf94
ENSG00000163866	SMIM12
ENSG00000189280	GJB5
ENSG00000189433	GJB4
ENSG00000255811	AL121988.1
ENSG00000188910	GJB3
ENSG00000187513	GJA4
ENSG00000230163	AL122010.1
ENSG00000116544	DLGAP3
ENSG00000284773	AC114490.3
ENSG00000271741	AC114490.2
ENSG00000243749	TMEM35B
ENSG00000163867	ZMYM6
ENSG00000197056	ZMYM1
ENSG00000284640	AL590434.1
ENSG00000116560	SFPQ
ENSG00000146463	ZMYM4
ENSG00000227409	ZMYM4-AS1
ENSG00000142687	KIAA0319L
ENSG00000020129	NCDN
ENSG00000239636	AC004865.2
ENSG00000116819	TFAP2E
ENSG00000126067	PSMB2
ENSG00000142686	C1orf216
ENSG00000092853	CLSPN
ENSG00000232335	AL354864.1
ENSG00000134698	AGO4
ENSG00000092847	AGO1
ENSG00000271914	AL139286.2
ENSG00000126070	AGO3
ENSG00000271554	AL138787.2
ENSG00000092850	TEKT2
ENSG00000116863	ADPRHL2
ENSG00000171812	COL8A2
ENSG00000054116	TRAPPC3
ENSG00000116871	MAP7D1
ENSG00000054118	THRAP3
ENSG00000214193	SH3D21
ENSG00000142694	EVA1B
ENSG00000116883	AL591845.1
ENSG00000196182	STK40
ENSG00000181817	LSM10
ENSG00000116885	OSCP1
ENSG00000116898	MRPS15
ENSG00000119535	CSF3R
ENSG00000284705	AL596257.1
ENSG00000284720	AC117945.2
ENSG00000234481	AC117945.1
ENSG00000163873	GRIK3
ENSG00000284650	AL031430.1
ENSG00000223944	AL353604.1
ENSG00000233621	LINC01137
ENSG00000163874	ZC3H12A
ENSG00000163875	MEAF6
ENSG00000163877	SNIP1
ENSG00000163879	DNALI1
ENSG00000134697	GNL2
ENSG00000169218	RSPO1
ENSG00000116922	C1orf109
ENSG00000134690	CDCA8
ENSG00000183317	EPHA10
ENSG00000185090	MANEAL
ENSG00000233728	AL929472.3
ENSG00000196449	YRDC
ENSG00000197982	C1orf122
ENSG00000188786	MTF1
ENSG00000230955	AL929472.2
ENSG00000204084	INPP5B
ENSG00000183431	SF3A3
ENSG00000183386	FHL3
ENSG00000183520	UTP11
ENSG00000185668	POU3F1
ENSG00000224592	AL139158.2
ENSG00000284623	AL139158.3
ENSG00000237290	LINC01343
ENSG00000238063	LINC01685
ENSG00000284632	AL354702.2
ENSG00000116954	RRAGC
ENSG00000228436	AL139260.1
ENSG00000214114	MYCBP
ENSG00000274944	AL139260.3
ENSG00000131233	GJA9
ENSG00000158315	RHBDL2
ENSG00000174574	AKIRIN1
ENSG00000168653	NDUFS5
ENSG00000127603	MACF1
ENSG00000226438	AL442071.1
ENSG00000183682	BMP8A
ENSG00000090621	PABPC4
ENSG00000228060	AL365277.1
ENSG00000163909	HEYL
ENSG00000225903	AL035404.2
ENSG00000116981	NT5C1A
ENSG00000116983	HPCAL4
ENSG00000084072	PPIE
ENSG00000116985	BMP8B
ENSG00000198754	OXCT2
ENSG00000261798	AL033527.3
ENSG00000284719	AL033527.5
ENSG00000284678	AL033527.4
ENSG00000043514	TRIT1
ENSG00000116990	MYCL
ENSG00000236546	AL033527.2
ENSG00000168389	MFSD2A
ENSG00000131236	CAP1
ENSG00000131238	PPT1
ENSG00000117000	RLF
ENSG00000188800	TMCO2
ENSG00000259943	AL050341.2
ENSG00000084073	ZMPSTE24
ENSG00000049089	COL9A2
ENSG00000084070	SMAP2
ENSG00000284677	AL031985.4
ENSG00000187801	ZFP69B
ENSG00000187815	ZFP69
ENSG00000238287	AL603839.3
ENSG00000164002	EXO5
ENSG00000227278	AL603839.1
ENSG00000238186	AL603839.2
ENSG00000117010	ZNF684
ENSG00000117016	RIMS3
ENSG00000237899	AL031289.1
ENSG00000272145	NFYC-AS1
ENSG00000066136	NFYC
ENSG00000117013	KCNQ4
ENSG00000179862	CITED4
ENSG00000229528	AC119677.1
ENSG00000171793	CTPS1
ENSG00000281207	SLFNL1-AS1
ENSG00000171790	SLFNL1
ENSG00000010803	SCMH1
ENSG00000235358	AC093151.3
ENSG00000204060	FOXO6
ENSG00000229901	AC093151.2
ENSG00000127129	EDN2
ENSG00000127124	HIVEP3
ENSG00000230881	AL445933.2
ENSG00000284895	AC119676.1
ENSG00000044012	GUCA2B
ENSG00000197273	GUCA2A
ENSG00000198815	FOXJ3
ENSG00000177181	RIMKLA
ENSG00000066185	ZMYND12
ENSG00000127125	PPCS
ENSG00000186409	CCDC30
ENSG00000171960	PPIH
ENSG00000234917	AC098484.2
ENSG00000065978	YBX1
ENSG00000164007	CLDN19
ENSG00000117385	P3H1
ENSG00000164008	C1orf50
ENSG00000283580	AC098484.3
ENSG00000228452	AC098484.1
ENSG00000274386	TMEM269
ENSG00000177868	SVBP
ENSG00000164010	ERMAP
ENSG00000228192	AL512353.1
ENSG00000164011	ZNF691
ENSG00000117394	SLC2A1
ENSG00000227533	SLC2A1-AS1
ENSG00000283973	AC099795.1
ENSG00000186973	FAM183A
ENSG00000117395	EBNA1BP2
ENSG00000243710	CFAP57
ENSG00000179178	TMEM125
ENSG00000253313	C1orf210
ENSG00000066056	TIE1
ENSG00000117400	MPL
ENSG00000234694	AL139289.2
ENSG00000117399	CDC20
ENSG00000066322	ELOVL1
ENSG00000159479	MED8
ENSG00000229431	AL139289.1
ENSG00000198198	SZT2
ENSG00000229372	SZT2-AS1
ENSG00000178922	HYI
ENSG00000142949	PTPRF
ENSG00000284989	AL451062.3
ENSG00000066135	KDM4A
ENSG00000236200	KDM4A-AS1
ENSG00000126091	ST3GAL3
ENSG00000229444	AL451062.1
ENSG00000117407	ARTN
ENSG00000237950	AL357079.1
ENSG00000117408	IPO13
